{ _pinturaperfis   // Cor Pintura Perfil
   *AZZERA*            =0
   DESCRIZIONE         =Cor Pintura Perfil
   ALIAS               =
   OBBLIGATO           =False
   CLASSE              =^3;6;120;120;3,7;#FOTO\MADEIRA\;2;3;;;1;
   MEMO                =1Código 1800Descrição 5250Preview 4725material base 2115cod pintura 1200LITRO PINTURA POR ML 3225rgb 1200COLUNA 6 = QUANTIDADE EM LITROS DE ACORDO COM METRO LINEAR UTILIZADO

   { 
      //       ,Descrição        ,Preview                           ,mate,cod pi,LITRO ,rgb
      005.1039 ,0520 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,246;203;206
      005.104  ,0520 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,245;205;213
      005.1040 ,0520 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,246;208;221
      005.1041 ,0520 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,235;207;226
      005.1042 ,0520 R50B        ,001.jpg                           ,4   ,4458  ,0.002 ,225;207;229
      005.1043 ,0520 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,214;210;232
      005.1044 ,0520 R70B        ,001.jpg                           ,4   ,4458  ,0.002 ,204;213;236
      005.1045 ,0520 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,195;216;237
      005.1046 ,0520 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,192;216;234
      005.1047 ,0520 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,248;231;173
      005.1048 ,0520 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,253;229;173
      005.1049 ,0520 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;221;164
      005.105  ,0520 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;216;169
      005.1050 ,0520 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;211;169
      005.1051 ,0520 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,254;205;169
      005.1052 ,0520 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;207;178
      005.1053 ,0520 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,252;201;180
      005.1054 ,0520 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;206;191
      005.1055 ,0520 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,254;203;194
      005.1056 ,0525 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,206;201;231
      005.1057 ,0525 R70B        ,001.jpg                           ,4   ,4458  ,0.002 ,198;206;236
      005.1058 ,0530 B           ,001.jpg                           ,4   ,4458  ,0.002 ,161;212;234
      005.1059 ,0530 B10G        ,001.jpg                           ,4   ,4458  ,0.002 ,150;212;228
      005.106  ,0530 B30G        ,001.jpg                           ,4   ,4458  ,0.002 ,146;216;223
      005.1060 ,0530 B40G        ,001.jpg                           ,4   ,4458  ,0.002 ,150;220;220
      005.1061 ,0530 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,154;226;224
      005.1062 ,0530 B60G        ,001.jpg                           ,4   ,4458  ,0.002 ,154;223;215
      005.1063 ,0530 B70G        ,001.jpg                           ,4   ,4458  ,0.002 ,157;226;212
      005.1064 ,0530 B90G        ,001.jpg                           ,4   ,4458  ,0.002 ,161;230;203
      005.1065 ,0530 G           ,001.jpg                           ,4   ,4458  ,0.002 ,168;225;189
      005.1066 ,0530 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,177;227;186
      005.1067 ,0530 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,181;227;177
      005.1068 ,0530 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,193;228;170
      005.1069 ,0530 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,209;232;168
      005.107  ,0530 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,216;230;158
      005.1070 ,0530 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,224;232;155
      005.1071 ,0530 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,237;239;157
      005.1072 ,0530 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,240;235;154
      005.1073 ,0530 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,253;238;154
      005.1074 ,0530 R           ,001.jpg                           ,4   ,4458  ,0.002 ,252;183;183
      005.1075 ,0530 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,250;183;192
      005.1076 ,0530 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,250;191;207
      005.1077 ,0530 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,240;186;209
      005.1078 ,0530 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,230;191;221
      005.1079 ,0530 R50B        ,001.jpg                           ,4   ,4458  ,0.002 ,216;190;226
      005.108  ,0530 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,173;202;235
      005.1080 ,0530 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,163;205;233
      005.1081 ,0530 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,253;229;151
      005.1082 ,0530 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;221;146
      005.1083 ,0530 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;212;143
      005.1084 ,0530 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;205;142
      005.1085 ,0530 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;198;144
      005.1086 ,0530 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;194;149
      005.1087 ,0530 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;187;152
      005.1088 ,0530 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;185;159
      005.1089 ,0530 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;185;169
      005.109  ,0530 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;186;176
      005.1090 ,0540 B           ,001.jpg                           ,4   ,4458  ,0.002 ,129;198;225
      005.1091 ,0540 B10G        ,001.jpg                           ,4   ,4458  ,0.002 ,116;204;224
      005.1092 ,0540 B30G        ,001.jpg                           ,4   ,4458  ,0.002 ,112;209;215
      005.1093 ,0540 G           ,001.jpg                           ,4   ,4458  ,0.002 ,140;221;179
      005.1094 ,0540 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,154;222;168
      005.1095 ,0540 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,165;224;161
      005.1096 ,0540 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,176;222;148
      005.1097 ,0540 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,197;225;141
      005.1098 ,0540 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,207;223;134
      005.1099 ,0540 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,222;233;132
      005.110  ,0540 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,232;234;131
      005.1100 ,0540 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,240;232;127
